ecoregion,percent_trend_fit_px,percent_significant_valid_px,percent_positive_valid_px,percent_negative_valid_px,trend_asymmetry_ratio,positive_sig_trend_mean,negative_sig_trend_mean,all_sig_trend_mean,net_area_percent
40115,97.81892722924496,28.271365122748794,27.218897945238908,1.0524671775098833,25.86199220923762,0.004947639499964179,-0.004810335991783038,0.00443163271978584,26.166430767729025
40120,99.29854096520762,42.368125701459036,42.003367003367,0.36475869809203143,115.15384615384616,0.008627602801682756,-0.0064201296104102815,0.008493115982976328,41.63860830527497
40166,85.71428571428571,46.75324675324675,42.857142857142854,3.896103896103896,11.0,0.010040437657155819,-0.011893739284138487,0.008322153907197198,38.96103896103896
40301,96.64353357912239,20.49109617099207,19.831562206318225,0.6595339646738476,30.0690537084399,0.005146762534625954,-0.005718258314664924,0.003011706926135482,19.172028241644377
40401,93.30723152424942,23.156394341801388,20.574841224018474,2.5815531177829096,7.969946882862734,0.006221150664436155,-0.005965878986992565,0.004336545862604728,17.993288106235564
40403,92.43011583889414,21.127240897154614,20.0643423101845,1.0628985869701137,18.877005347593585,0.004529912077901094,-0.004630514639744526,0.0038183891750123828,19.001443723214386
40501,77.02328037671083,6.70466047616952,5.356907098534524,1.3477533776349953,3.9746938775510205,0.007641816022704081,-0.006623114758553085,0.005035775445435095,4.009153720899529
40502,87.04939919893191,12.424647004086257,11.550754541408747,0.8738924626775094,13.217592592592593,0.004959660464686986,-0.004712663977213862,0.0038533843767941103,10.676862078731236
40701,97.57662995790159,38.06726872985044,36.5819933155212,1.4852754143292353,24.629770992366414,0.005514287993816053,-0.005425757245405405,0.004968534657978378,35.096717901191965
81003,31.111619948989006,2.6771232850573394,2.2713250774387643,0.4057982076185751,5.59717868338558,0.0069859862490409,-0.007170508244973908,0.005010660159443802,1.8655268698201892
81021,19.073070303424327,1.6699551705108142,1.3199374050302768,0.35001776548053737,3.7710583153347734,0.005390707171817925,-0.006177743112943464,0.00351205990710562,0.9699196395497394
