lsp_metric,total_pixels,trend_fitted_pixels,significant_pixels,trend_fitted_pct,sig_from_fitted_pct,sig_from_total_pct
sos,2569062,2047814,159978,79.71,7.81,6.23
eos,2569062,2048897,155358,79.75,7.58,6.05
los,2569062,2048897,191566,79.75,9.35,7.46
pos,2569062,2048897,514601,79.75,25.12,20.03
