lsp_metric,ecoregion,elev_r,slope_r,aspect_r,elev_p,slope_p,aspect_p,is_elev_driver,is_slope_driver,is_aspect_driver
los,40115,-0.365,-0.477,0.0,0.3339,0.1946,1.0,NO,NO,NO
los,40301,-0.356,-0.269,-0.322,0.1341,0.2656,0.1774,NO,NO,NO
los,40401,-0.698,0.095,-0.225,0.0009,0.6997,0.3469,YES,NO,NO
los,40403,-0.116,-0.591,0.0,0.7489,0.0719,1.0,NO,NO,NO
los,40501,-0.827,0.215,0.257,0.0,0.4065,0.3117,YES,NO,NO
los,81003,-0.064,0.36,0.0,0.8518,0.2774,1.0,NO,NO,NO
los,81021,-0.775,0.17,0.0,0.0239,0.6871,1.0,YES,NO,NO
