ecoregion,elevation,slope,aspect,n_trend_unfitted_count,n_trend_fitted_count,n_insig_trend_count,n_sig_trend_count,positive_sig_trend_count,negative_sig_trend_count,positive_sig_trend_mean,negative_sig_trend_mean,all_sig_trend_mean,percent_sig_pixels,trend_asymmetry_ratio,lsp_change
40115,1,1,1.0,1041,28110,26460,2691,1322,1369,3.01243090131846,-1.9173632486109826,0.5044828555163764,9.573105656350053,0.9656683710737765,0
40115,1,1,2.0,1161,39197,36550,3808,2342,1466,2.377058150691494,-1.8955599497426818,0.732189942908799,9.715029211419242,1.5975443383356072,0
40115,1,2,1.0,2037,101628,96576,7089,3846,3243,1.6512073085826364,-1.16178714223191,0.3643486537665024,6.975439839414335,1.1859389454209066,0
40115,1,2,2.0,2201,127373,119652,9922,6753,3169,1.9452431367727667,-1.3125127066083504,0.9047444200145768,7.789719956348677,2.130956137582834,1
40115,1,3,1.0,1854,74672,71409,5117,2044,3073,1.438732067097221,-1.056949949957547,-0.06004276941036192,6.852635526033855,0.6651480637813212,0
40115,1,3,2.0,1738,88091,83702,6127,3813,2314,1.9069502535797287,-1.4947649568333246,0.6222156368185395,6.95530757966194,1.6477960242005185,0
40115,1,4,1.0,266,7528,7342,452,186,266,1.088026332249362,-1.058831991281103,-0.17539029177520377,6.004250797024442,0.6992481203007519,0
40115,1,4,2.0,178,7873,7514,537,339,198,1.6795033835266027,-1.5634756818192486,0.48376808568958507,6.820779880604598,1.7121212121212122,0
40115,2,1,1.0,2,35,36,1,1,0,1.2848470052083334,,1.2848470052083334,2.857142857142857,inf,0
40115,2,1,2.0,2,48,48,2,2,0,1.0742865311472038,,1.0742865311472038,4.166666666666666,inf,0
40115,2,2,1.0,47,2794,2666,175,85,90,1.3947992654725294,-1.1836437389261727,0.06874286321033983,6.263421617752327,0.9444444444444444,0
40115,2,2,2.0,35,2377,2265,147,91,56,1.6942960081334513,-1.7833538431063312,0.3694770171849625,6.184265881363063,1.625,0
40115,2,3,1.0,258,9434,9078,614,222,392,1.170953448566335,-1.0857991672899747,-0.26983975243639036,6.508373966504134,0.5663265306122449,0
40115,2,3,2.0,173,7491,7116,548,340,208,1.717076987816586,-1.4462875625570992,0.516383873806136,7.315445200907755,1.6346153846153846,0
40115,2,4,1.0,110,2210,2187,133,45,88,1.0229441543325126,-1.0607800567089327,-0.3557605868076917,6.018099547511312,0.5113636363636364,0
40115,2,4,2.0,49,2192,2076,165,132,33,1.7429317996922584,-1.673765079894613,1.0595924237748842,7.5273722627737225,4.0,1
40115,3,2,1.0,0,1,1,0,0,0,,,,0.0,,0
40115,3,2,2.0,0,4,4,0,0,0,,,,0.0,,0
40115,3,3,1.0,1,2,3,0,0,0,,,,0.0,,0
40115,3,3,2.0,0,10,8,2,2,0,1.846627468532986,,1.846627468532986,20.0,inf,0
40115,3,4,2.0,0,2,1,1,1,0,2.0490447998046877,,2.0490447998046877,50.0,inf,0
40120,1,1,1.0,19,2005,1814,210,102,108,2.482243590771197,-3.603638542967793,-0.647638649437427,10.473815461346634,0.9444444444444444,0
40120,1,1,2.0,6,1534,1390,150,76,74,2.6114689425095574,-3.9614545975848436,-0.6311733372703472,9.778357235984354,1.027027027027027,0
40166,1,1,1.0,4,42,41,5,3,2,1.5454715333398985,-10.196700267302683,-3.1513971869171344,11.904761904761903,1.5,0
40166,1,1,2.0,3,24,23,4,1,3,10.206705729166666,-3.9855199599997255,-0.43746353770812707,16.666666666666664,0.3333333333333333,1
40166,1,2,1.0,0,4,3,1,1,0,1.3322303078391335,,1.3322303078391335,25.0,inf,0
40301,1,1,1.0,3,126,121,8,3,5,1.7758693226596762,-1.0078349514533405,0.03605415133904091,6.349206349206349,0.6,0
40301,1,1,2.0,2,154,144,12,4,8,0.8941377912248882,-1.0091313781754643,-0.37470832170868,7.792207792207792,0.5,0
40301,1,2,1.0,167,5605,5425,347,135,212,1.467813743198513,-1.1365548672674126,-0.12332788625040982,6.190900981266726,0.6367924528301887,0
40301,1,2,2.0,237,8475,8151,561,322,239,1.5725394613078614,-1.2405687912051735,0.37408514339232607,6.619469026548673,1.3472803347280335,0
40301,1,3,1.0,363,10081,9859,585,209,376,1.368880348792316,-1.197670533866228,-0.2807318424548849,5.802995734550144,0.5558510638297872,0
40301,1,3,2.0,455,16158,15464,1149,894,255,1.747362321151402,-1.7447183434683045,0.9723574739120415,7.111028592647604,3.5058823529411764,1
40301,1,4,1.0,38,880,869,49,24,25,1.2533819966301867,-1.3300528987688633,-0.06469703163463468,5.568181818181818,0.96,0
40301,1,4,2.0,43,1520,1453,110,95,15,1.7532842893933054,-1.7414185289694937,1.2767339050711055,7.236842105263158,6.333333333333333,1
40301,2,1,1.0,19,453,443,29,21,8,1.54284796156559,-1.4471282422574259,0.7180269398213096,6.401766004415011,2.625,1
40301,2,1,2.0,16,505,487,34,20,14,1.3958423349404008,-1.5413164625187232,0.18642400657487923,6.732673267326733,1.4285714285714286,0
40301,2,2,1.0,918,34247,33070,2095,1075,1020,1.3246785430913748,-1.262859429508045,0.06487485237471208,6.1173241451806,1.053921568627451,0
40301,2,2,2.0,1010,37367,35773,2604,1826,778,1.6023281348836818,-1.521048261061354,0.6691534666635446,6.968715711724249,2.347043701799486,1
40301,2,3,1.0,3446,101862,99200,6108,2501,3607,1.2335591464309743,-1.202424626734177,-0.20497940461792882,5.996348000235613,0.6933739950097033,0
40301,2,3,2.0,3439,111972,105600,9811,8057,1754,1.7274049119466204,-1.7114396657938122,1.1126119867242457,8.762011931554317,4.5935005701254275,1
40301,2,4,1.0,757,15569,15286,1040,385,655,1.3034322680288175,-1.2006789074505175,-0.27367621268172526,6.679940908215043,0.5877862595419847,0
40301,2,4,2.0,1053,29277,27429,2901,2542,359,1.6985379565216139,-1.6773344632770337,1.2807722899557006,9.908802131365919,7.080779944289693,1
40301,3,1,1.0,2,34,32,4,2,2,1.6929445837298012,-1.0011250813802084,0.34590975117479644,11.76470588235294,1.0,0
40301,3,1,2.0,2,42,38,6,3,3,1.3919052120725126,-1.0668615038800489,0.1625218540962318,14.285714285714285,1.0,0
40301,3,2,1.0,99,2709,2686,122,39,83,1.4011357285836394,-1.6366701096144476,-0.6655682433052229,4.5035068290882245,0.46987951807228917,0
40301,3,2,2.0,100,2346,2297,149,100,49,1.8422570116263797,-1.8708242084546516,0.621176610391678,6.351236146632566,2.0408163265306123,1
40301,3,3,1.0,486,9283,9299,470,134,336,1.2422355879146083,-1.4327534676573404,-0.6700970135155507,5.063018420769148,0.39880952380952384,1
40301,3,3,2.0,521,6938,6977,482,351,131,1.943014606299981,-2.0317905101213336,0.8627252489323624,6.947247045258,2.6793893129770994,1
40301,3,4,1.0,224,2215,2340,99,24,75,1.4265905110764823,-1.2980571299422698,-0.6375364896952995,4.469525959367946,0.32,0
40301,3,4,2.0,207,3321,3292,236,185,51,1.956994709921908,-1.6713447437313622,1.172904404259549,7.106293285155074,3.627450980392157,1
40301,4,2,1.0,6,21,27,0,0,0,,,,0.0,,0
40301,4,2,2.0,3,18,18,3,3,0,2.199625455048449,,2.199625455048449,16.666666666666664,inf,1
40301,4,3,1.0,7,26,32,1,1,0,2.124776561357822,,2.124776561357822,3.8461538461538463,inf,0
40301,4,3,2.0,1,23,23,1,1,0,0.9676764993106617,,0.9676764993106617,4.3478260869565215,inf,0
40301,4,4,1.0,20,37,55,2,2,0,0.8140014164031498,,0.8140014164031498,5.405405405405405,inf,1
40301,4,4,2.0,7,75,77,5,5,0,0.9061145190498074,,0.9061145190498074,6.666666666666667,inf,1
40401,1,1,1.0,0,19,18,1,0,1,,-1.3140326605902777,-1.3140326605902777,5.263157894736842,0.0,1
40401,1,1,2.0,0,22,18,4,1,3,1.333432977849787,-1.450910738191432,-0.7548248091811273,18.181818181818183,0.3333333333333333,1
40401,1,2,1.0,33,1667,1590,110,20,90,0.9870127775582818,-0.9307094670373635,-0.5820326952927007,6.5986802639472115,0.2222222222222222,1
40401,1,2,2.0,48,1530,1485,93,26,67,1.3481279902642906,-1.043970372886345,-0.3752116907151996,6.078431372549019,0.3880597014925373,1
40401,1,3,1.0,81,3072,2924,229,37,192,1.008012164144102,-0.8740252501924332,-0.5699406024612026,7.454427083333333,0.19270833333333334,1
40401,1,3,2.0,81,3628,3475,234,75,159,1.3934240988028705,-1.1939867756574527,-0.36468841845863126,6.449834619625137,0.4716981132075472,1
40401,1,4,1.0,12,334,333,13,4,9,1.0825759127746624,-0.9713749253504584,-0.3393900520811905,3.8922155688622757,0.4444444444444444,0
40401,1,4,2.0,9,482,441,50,23,27,1.8423700481560417,-1.4506995094362527,0.06411248705620269,10.37344398340249,0.8518518518518519,0
40401,2,1,1.0,31,1194,1137,88,33,55,1.0161604000828053,-0.9952252279684252,-0.24095561744921384,7.370184254606365,0.6,0
40401,2,1,2.0,52,1416,1370,98,47,51,0.9078184317227066,-1.245378638161965,-0.21272290056421442,6.9209039548022595,0.9215686274509803,0
40401,2,2,1.0,570,17083,16617,1036,383,653,1.2753438739287812,-1.1577039573556707,-0.2582277803460711,6.064508575777088,0.5865237366003063,0
40401,2,2,2.0,640,18240,17785,1095,615,480,1.4092031428345253,-1.3719174188972283,0.19008180070553743,6.003289473684211,1.28125,0
40401,2,3,1.0,2731,53276,52907,3100,881,2219,1.3003141965722347,-1.1296006963053797,-0.43903456061983837,5.818755161798934,0.39702568724650744,1
40401,2,3,2.0,2367,51237,50317,3287,2265,1022,1.6149164979981028,-1.418437563097743,0.6717805532338942,6.4152858286004255,2.216242661448141,1
40401,2,4,1.0,654,8870,9051,473,164,309,1.3796657414192866,-1.1881866952999043,-0.2978530808771827,5.332581736189403,0.5307443365695793,0
40401,2,4,2.0,706,11929,11707,928,798,130,1.827924485771464,-1.6216597386207598,1.344685316406174,7.779361220554951,6.138461538461539,1
