ecoregion,elevation,slope,aspect_n,aspect_e
81003,0.13,-0.02,-0.01,-0.02
40115,-0.16,-0.08,-0.02,0.0
40301,-0.1,-0.03,0.02,0.01
40403,-0.06,0.0,-0.02,0.0
40401,0.01,-0.01,-0.03,-0.02
81021,0.04,-0.05,0.07,0.03
40701,-0.14,-0.12,0.05,0.03
40501,0.07,-0.03,-0.01,-0.05
40502,-0.06,-0.01,-0.01,0.0
avg abs r,0.09,0.04,0.03,0.02
